"ChartTransID","ChartTypeID","RowNumber","TestScore","ChartNumber","YAxisValue","CreationDate","LastModificationDate"
320,1,3,15,790,94,2002-02-09 13:24:50,2002-02-09 13:24:50
321,1,3,16,840,96,2002-02-09 13:24:50,2002-02-09 13:24:50
322,1,3,17,940,99,2002-02-09 13:24:50,2002-02-09 13:24:50
323,1,4,0,75,2,2002-02-09 13:24:50,2002-02-09 13:24:50
324,1,4,1,250,10,2002-02-09 13:24:50,2002-02-09 13:24:50
325,1,4,2,295,16,2002-02-09 13:24:50,2002-02-09 13:24:50
326,1,4,3,355,25,2002-02-09 13:24:50,2002-02-09 13:24:50
327,1,4,4,455,40,2002-02-09 13:24:50,2002-02-09 13:24:50
328,1,4,5,480,45,2002-02-09 13:24:50,2002-02-09 13:24:50
329,1,4,6,530,57,2002-02-09 13:24:50,2002-02-09 13:24:50
330,1,4,7,595,68,2002-02-09 13:24:50,2002-02-09 13:24:50
331,1,4,8,630,76,2002-02-09 13:24:50,2002-02-09 13:24:50
332,1,4,9,695,83,2002-02-09 13:24:50,2002-02-09 13:24:50
333,1,4,10,720,86,2002-02-09 13:24:50,2002-02-09 13:24:50
334,1,4,11,760,91,2002-02-09 13:24:50,2002-02-09 13:24:50
335,1,4,12,870,97,2002-02-09 13:24:50,2002-02-09 13:24:50
336,1,4,13,910,98,2002-02-09 13:24:50,2002-02-09 13:24:50
337,1,4,14,940,99,2002-02-09 13:24:50,2002-02-09 13:24:50
338,1,4,15,855,99,2002-02-09 13:24:50,2002-02-09 13:24:50
339,1,4,16,910,99,2002-02-09 13:24:50,2002-02-09 13:24:50
340,1,4,17,945,99,2002-02-09 13:24:50,2002-02-09 13:24:50
341,3,1,-1,570,68,2002-02-09 13:35:53,2002-02-09 13:35:53
342,3,1,-2,555,63,2002-02-09 13:35:53,2002-02-09 13:35:53
343,3,1,-3,540,60,2002-02-09 13:35:53,2002-02-09 13:35:53
344,3,1,-4,520,55,2002-02-09 13:35:53,2002-02-09 13:35:53
345,3,1,-5,495,52,2002-02-09 13:35:53,2002-02-09 13:35:53
346,3,1,-6,470,45,2002-02-09 13:35:53,2002-02-09 13:35:53
347,3,1,-7,460,43,2002-02-09 13:35:53,2002-02-09 13:35:53
348,3,1,-8,445,40,2002-02-09 13:35:53,2002-02-09 13:35:53
349,3,1,-9,410,35,2002-02-09 13:35:53,2002-02-09 13:35:53
350,3,1,-10,395,33,2002-02-09 13:35:53,2002-02-09 13:35:53
351,3,1,-11,370,29,2002-02-09 13:35:53,2002-02-09 13:35:53
352,3,1,-12,350,25,2002-02-09 13:35:53,2002-02-09 13:35:53
353,3,1,-13,325,21,2002-02-09 13:35:53,2002-02-09 13:35:53
354,3,1,-14,295,13,2002-02-09 13:35:53,2002-02-09 13:35:53
355,3,1,-15,260,13,2002-02-09 13:35:53,2002-02-09 13:35:53
356,3,1,-16,190,7,2002-02-09 13:35:53,2002-02-09 13:35:53
357,3,1,0,600,72,2002-02-09 13:35:53,2002-02-09 13:35:53
358,3,1,1,625,75,2002-02-09 13:35:53,2002-02-09 13:35:53
359,3,1,2,642,78,2002-02-09 13:35:53,2002-02-09 13:35:53
360,3,1,3,655,80,2002-02-09 13:35:53,2002-02-09 13:35:53
361,3,1,4,677,82,2002-02-09 13:35:53,2002-02-09 13:35:53
362,3,1,5,700,84,2002-02-09 13:35:53,2002-02-09 13:35:53
363,3,1,6,715,87,2002-02-09 13:35:53,2002-02-09 13:35:53
364,3,1,7,730,89,2002-02-09 13:35:53,2002-02-09 13:35:53
365,3,1,8,752,91,2002-02-09 13:35:53,2002-02-09 13:35:53
366,3,1,9,785,93,2002-02-09 13:35:53,2002-02-09 13:35:53
367,3,1,10,797,94,2002-02-09 13:35:53,2002-02-09 13:35:53
368,3,1,11,810,95,2002-02-09 13:35:53,2002-02-09 13:35:53
369,3,1,12,840,96,2002-02-09 13:35:53,2002-02-09 13:35:53
370,3,1,13,890,98,2002-02-09 13:35:53,2002-02-09 13:35:53
371,3,1,14,920,99,2002-02-09 13:35:53,2002-02-09 13:35:53
372,3,1,15,970,100,2002-02-09 13:35:53,2002-02-09 13:35:53
373,3,2,-1,510,53,2002-02-09 13:35:53,2002-02-09 13:35:53
374,3,2,-2,490,50,2002-02-09 13:35:53,2002-02-09 13:35:53
375,3,2,-3,470,44,2002-02-09 13:35:53,2002-02-09 13:35:53
376,3,2,-4,425,36,2002-02-09 13:35:53,2002-02-09 13:35:53
377,3,2,-5,395,31,2002-02-09 13:35:53,2002-02-09 13:35:53
378,3,2,-6,370,29,2002-02-09 13:35:53,2002-02-09 13:35:53
379,3,2,-7,325,20,2002-02-09 13:35:53,2002-02-09 13:35:53
380,3,2,-8,280,16,2002-02-09 13:35:53,2002-02-09 13:35:53
381,3,2,-9,230,10,2002-02-09 13:35:53,2002-02-09 13:35:53
382,3,2,-10,202,8,2002-02-09 13:35:53,2002-02-09 13:35:53
383,3,2,-11,185,6,2002-02-09 13:35:53,2002-02-09 13:35:53
384,3,2,-12,155,5,2002-02-09 13:35:53,2002-02-09 13:35:53
385,3,2,-13,110,4,2002-02-09 13:35:53,2002-02-09 13:35:53
386,3,2,-14,85,3,2002-02-09 13:35:53,2002-02-09 13:35:53
387,3,2,-15,65,2,2002-02-09 13:35:53,2002-02-09 13:35:53
388,3,2,-16,45,1,2002-02-09 13:35:53,2002-02-09 13:35:53
389,3,2,0,530,58,2002-02-09 13:35:53,2002-02-09 13:35:53
390,3,2,1,550,61,2002-02-09 13:35:53,2002-02-09 13:35:53
391,3,2,2,570,65,2002-02-09 13:35:53,2002-02-09 13:35:53
392,3,2,3,595,70,2002-02-09 13:35:53,2002-02-09 13:35:53
393,3,2,4,620,74,2002-02-09 13:35:53,2002-02-09 13:35:53
394,3,2,5,635,76,2002-02-09 13:35:53,2002-02-09 13:35:53
395,3,2,6,650,79,2002-02-09 13:35:53,2002-02-09 13:35:53
396,3,2,7,700,86,2002-02-09 13:35:53,2002-02-09 13:35:53
397,3,2,8,725,89,2002-02-09 13:35:53,2002-02-09 13:35:53
398,3,2,9,775,93,2002-02-09 13:35:53,2002-02-09 13:35:53
399,3,2,10,785,94,2002-02-09 13:35:53,2002-02-09 13:35:53
400,3,2,11,800,95,2002-02-09 13:35:53,2002-02-09 13:35:53
401,3,2,12,830,96,2002-02-09 13:35:53,2002-02-09 13:35:53
402,3,2,13,850,96,2002-02-09 13:35:53,2002-02-09 13:35:53
403,3,2,14,865,97,2002-02-09 13:35:53,2002-02-09 13:35:53
404,3,2,15,875,97,2002-02-09 13:35:53,2002-02-09 13:35:53
405,3,2,16,890,98,2002-02-09 13:35:53,2002-02-09 13:35:53
406,3,2,17,905,98,2002-02-09 13:35:53,2002-02-09 13:35:53
407,3,2,18,920,99,2002-02-09 13:35:53,2002-02-09 13:35:53
408,3,3,-1,385,31,2002-02-09 13:35:53,2002-02-09 13:35:53
409,3,3,-2,360,28,2002-02-09 13:35:53,2002-02-09 13:35:53
410,3,3,-3,347,25,2002-02-09 13:35:53,2002-02-09 13:35:53
411,3,3,-4,335,22,2002-02-09 13:35:53,2002-02-09 13:35:53
412,3,3,-5,295,17,2002-02-09 13:35:53,2002-02-09 13:35:53
413,3,3,-6,270,15,2002-02-09 13:35:53,2002-02-09 13:35:53
414,3,3,-7,245,12,2002-02-09 13:35:53,2002-02-09 13:35:53
415,3,3,-8,220,9,2002-02-09 13:35:53,2002-02-09 13:35:53
416,3,3,-9,180,6,2002-02-09 13:35:53,2002-02-09 13:35:53
417,3,3,-10,105,4,2002-02-09 13:35:53,2002-02-09 13:35:53
418,3,3,-11,93,3,2002-02-09 13:35:53,2002-02-09 13:35:53
419,3,3,-12,80,3,2002-02-09 13:35:53,2002-02-09 13:35:53
420,3,3,-13,40,1,2002-02-09 13:35:53,2002-02-09 13:35:53
421,3,3,0,410,34,2002-02-09 13:35:53,2002-02-09 13:35:53
422,3,3,1,435,39,2002-02-09 13:35:53,2002-02-09 13:35:53
423,3,3,2,455,40,2002-02-09 13:35:53,2002-02-09 13:35:53
424,3,3,3,475,45,2002-02-09 13:35:53,2002-02-09 13:35:53
425,3,3,4,487,50,2002-02-09 13:35:53,2002-02-09 13:35:53
426,3,3,5,500,52,2002-02-09 13:35:53,2002-02-09 13:35:53
427,3,3,6,525,55,2002-02-09 13:35:53,2002-02-09 13:35:53
428,3,3,7,550,61,2002-02-09 13:35:53,2002-02-09 13:35:53
429,3,3,8,575,65,2002-02-09 13:35:53,2002-02-09 13:35:53
430,3,3,9,595,70,2002-02-09 13:35:53,2002-02-09 13:35:53
431,3,3,10,620,73,2002-02-09 13:35:53,2002-02-09 13:35:53
432,3,3,11,642,78,2002-02-09 13:35:53,2002-02-09 13:35:53
433,3,3,12,665,81,2002-02-09 13:35:53,2002-02-09 13:35:53
434,3,3,13,715,86,2002-02-09 13:35:53,2002-02-09 13:35:53
435,3,3,14,785,93,2002-02-09 13:35:53,2002-02-09 13:35:53
436,3,3,15,805,95,2002-02-09 13:35:53,2002-02-09 13:35:53
437,3,3,16,860,97,2002-02-09 13:35:53,2002-02-09 13:35:53
438,3,3,17,920,99,2002-02-09 13:35:53,2002-02-09 13:35:53
439,3,4,0,475,44,2002-02-09 13:35:53,2002-02-09 13:35:53
440,3,4,-1,450,40,2002-02-09 13:35:53,2002-02-09 13:35:53
441,3,4,-2,437,39,2002-02-09 13:35:53,2002-02-09 13:35:53
442,3,4,-3,425,36,2002-02-09 13:35:53,2002-02-09 13:35:53
443,3,4,-4,400,31,2002-02-09 13:35:53,2002-02-09 13:35:53
444,3,4,-5,380,28,2002-02-09 13:35:53,2002-02-09 13:35:53
445,3,4,-6,355,23,2002-02-09 13:35:53,2002-02-09 13:35:53
446,3,4,-7,330,21,2002-02-09 13:35:53,2002-02-09 13:35:53
447,3,4,-8,295,17,2002-02-09 13:35:53,2002-02-09 13:35:53
448,3,4,-9,240,12,2002-02-09 13:35:53,2002-02-09 13:35:53
449,3,4,-10,220,10,2002-02-09 13:35:53,2002-02-09 13:35:53
450,3,4,-11,200,7,2002-02-09 13:35:53,2002-02-09 13:35:53
451,3,4,-12,160,5,2002-02-09 13:35:53,2002-02-09 13:35:53
452,3,4,-13,130,4,2002-02-09 13:35:53,2002-02-09 13:35:53
453,3,4,-14,70,2,2002-02-09 13:35:53,2002-02-09 13:35:53
454,3,4,-15,45,1,2002-02-09 13:35:53,2002-02-09 13:35:53
455,3,4,1,520,55,2002-02-09 13:35:53,2002-02-09 13:35:53
456,3,4,2,545,60,2002-02-09 13:35:53,2002-02-09 13:35:53
457,3,4,3,570,65,2002-02-09 13:35:53,2002-02-09 13:35:53
458,3,4,4,595,69,2002-02-09 13:35:53,2002-02-09 13:35:53
459,3,4,5,615,71,2002-02-09 13:35:53,2002-02-09 13:35:53
460,3,4,6,640,75,2002-02-09 13:35:53,2002-02-09 13:35:53
461,3,4,7,660,80,2002-02-09 13:35:53,2002-02-09 13:35:53
462,3,4,8,695,83,2002-02-09 13:35:53,2002-02-09 13:35:53
463,3,4,9,720,85,2002-02-09 13:35:53,2002-02-09 13:35:53
464,3,4,10,785,94,2002-02-09 13:35:53,2002-02-09 13:35:53
465,3,4,11,835,96,2002-02-09 13:35:53,2002-02-09 13:35:53
466,3,4,12,895,98,2002-02-09 13:35:53,2002-02-09 13:35:53
467,3,4,13,925,99,2002-02-09 13:35:53,2002-02-09 13:35:53
468,2,1,0,945,99,2002-02-09 13:35:53,2002-02-09 13:35:53
469,2,1,1,900,97,2002-02-09 13:35:53,2002-02-09 13:35:53
470,2,1,2,790,93,2002-02-09 13:35:53,2002-02-09 13:35:53
471,2,1,3,710,86,2002-02-09 13:35:53,2002-02-09 13:35:53
472,2,1,4,675,83,2002-02-09 13:35:53,2002-02-09 13:35:53
473,2,1,5,635,76,2002-02-09 13:35:53,2002-02-09 13:35:53
474,2,1,6,600,70,2002-02-09 13:35:53,2002-02-09 13:35:53
475,2,1,7,565,65,2002-02-09 13:35:53,2002-02-09 13:35:53
476,2,1,8,535,58,2002-02-09 13:35:53,2002-02-09 13:35:53
477,2,1,9,505,52,2002-02-09 13:35:53,2002-02-09 13:35:53
478,2,1,10,480,45,2002-02-09 13:35:53,2002-02-09 13:35:53
479,2,1,11,455,41,2002-02-09 13:35:53,2002-02-09 13:35:53
480,2,1,12,415,35,2002-02-09 13:35:53,2002-02-09 13:35:53
481,2,1,13,375,28,2002-02-09 13:35:53,2002-02-09 13:35:53
482,2,1,14,340,22,2002-02-09 13:35:53,2002-02-09 13:35:53
483,2,1,15,285,15,2002-02-09 13:35:53,2002-02-09 13:35:53
484,2,1,16,255,11,2002-02-09 13:35:53,2002-02-09 13:35:53
485,2,1,17,200,7,2002-02-09 13:35:53,2002-02-09 13:35:53
486,2,1,18,130,4,2002-02-09 13:35:53,2002-02-09 13:35:53
487,2,1,19,45,1,2002-02-09 13:35:53,2002-02-09 13:35:53
488,2,2,0,945,99,2002-02-09 13:35:53,2002-02-09 13:35:53
489,2,2,1,805,95,2002-02-09 13:35:53,2002-02-09 13:35:53
490,2,2,2,705,86,2002-02-09 13:35:53,2002-02-09 13:35:53
491,2,2,3,630,75,2002-02-09 13:35:53,2002-02-09 13:35:53
492,2,2,4,580,66,2002-02-09 13:35:53,2002-02-09 13:35:53
493,2,2,5,515,55,2002-02-09 13:35:53,2002-02-09 13:35:53
494,2,2,6,470,45,2002-02-09 13:35:53,2002-02-09 13:35:53
495,2,2,7,405,33,2002-02-09 13:35:53,2002-02-09 13:35:53
496,2,2,8,360,25,2002-02-09 13:35:53,2002-02-09 13:35:53
497,2,2,9,325,20,2002-02-09 13:35:53,2002-02-09 13:35:53
498,2,2,10,270,14,2002-02-09 13:35:53,2002-02-09 13:35:53
499,2,2,11,235,9,2002-02-09 13:35:53,2002-02-09 13:35:53
500,2,2,12,180,6,2002-02-09 13:35:53,2002-02-09 13:35:53
501,2,2,13,155,5,2002-02-09 13:35:53,2002-02-09 13:35:53
502,2,2,14,100,3,2002-02-09 13:35:53,2002-02-09 13:35:53
503,2,2,15,70,2,2002-02-09 13:35:53,2002-02-09 13:35:53
504,2,2,16,40,1,2002-02-09 13:35:53,2002-02-09 13:35:53
505,2,3,0,945,99,2002-02-09 13:35:53,2002-02-09 13:35:53
506,2,3,1,655,80,2002-02-09 13:35:53,2002-02-09 13:35:53
507,2,3,2,595,70,2002-02-09 13:35:53,2002-02-09 13:35:53
508,2,3,3,510,54,2002-02-09 13:35:53,2002-02-09 13:35:53
509,2,3,4,470,45,2002-02-09 13:35:53,2002-02-09 13:35:53
510,2,3,5,410,34,2002-02-09 13:35:53,2002-02-09 13:35:53
511,2,3,6,375,30,2002-02-09 13:35:53,2002-02-09 13:35:53
512,2,3,7,325,22,2002-02-09 13:35:53,2002-02-09 13:35:53
513,2,3,8,270,14,2002-02-09 13:35:53,2002-02-09 13:35:53
514,2,3,9,230,9,2002-02-09 13:35:53,2002-02-09 13:35:53
515,2,3,10,205,8,2002-02-09 13:35:53,2002-02-09 13:35:53
516,2,3,11,185,7,2002-02-09 13:35:53,2002-02-09 13:35:53
517,2,3,12,105,3,2002-02-09 13:35:53,2002-02-09 13:35:53
518,2,3,13,72,2,2002-02-09 13:35:53,2002-02-09 13:35:53
519,2,3,14,40,1,2002-02-09 13:35:53,2002-02-09 13:35:53
520,2,4,0,945,99,2002-02-09 13:35:53,2002-02-09 13:35:53
521,2,4,1,790,94,2002-02-09 13:35:53,2002-02-09 13:35:53
522,2,4,2,665,80,2002-02-09 13:35:53,2002-02-09 13:35:53
523,2,4,3,595,69,2002-02-09 13:35:53,2002-02-09 13:35:53
524,2,4,4,560,64,2002-02-09 13:35:53,2002-02-09 13:35:53
525,2,4,5,510,55,2002-02-09 13:35:53,2002-02-09 13:35:53
526,2,4,6,470,45,2002-02-09 13:35:53,2002-02-09 13:35:53
527,2,4,7,450,40,2002-02-09 13:35:53,2002-02-09 13:35:53
528,2,4,8,420,36,2002-02-09 13:35:53,2002-02-09 13:35:53
529,2,4,9,380,30,2002-02-09 13:35:53,2002-02-09 13:35:53
530,2,4,10,330,21,2002-02-09 13:35:53,2002-02-09 13:35:53
531,2,4,11,265,14,2002-02-09 13:35:53,2002-02-09 13:35:53
532,2,4,12,230,9,2002-02-09 13:35:53,2002-02-09 13:35:53
533,2,4,13,175,6,2002-02-09 13:35:53,2002-02-09 13:35:53
534,2,4,14,140,4,2002-02-09 13:35:53,2002-02-09 13:35:53
535,2,4,15,70,2,2002-02-09 13:35:53,2002-02-09 13:35:53
536,2,4,16,40,1,2002-02-09 13:35:53,2002-02-09 13:35:53
